DATE,DEXSDUS
2022-08-26,10.6126
2022-08-29,10.6644
2022-08-30,10.6714
2022-08-31,10.6283
2022-09-01,10.7993
2022-09-02,10.6995
2022-09-05,.
2022-09-06,10.7938
2022-09-07,10.7604
2022-09-08,10.7413
2022-09-09,10.6114
2022-09-12,10.6147
2022-09-13,10.6477
2022-09-14,10.6881
2022-09-15,10.7288
2022-09-16,10.767
2022-09-19,10.8157
2022-09-20,10.867
2022-09-21,11.0232
2022-09-22,11.0671
2022-09-23,11.2589
2022-09-26,11.3341
2022-09-27,11.342
2022-09-28,11.2409
2022-09-29,11.1862
2022-09-30,11.125
2022-10-03,11.0297
2022-10-04,10.8576
2022-10-05,10.989
2022-10-06,11.1095
2022-10-07,11.1736
2022-10-10,.
2022-10-11,11.2669
2022-10-12,11.345
2022-10-13,11.2468
2022-10-14,11.3133
2022-10-17,11.1437
2022-10-18,11.1197
2022-10-19,11.2058
2022-10-20,11.2037
2022-10-21,11.2125
2022-10-24,11.1832
2022-10-25,10.9841
2022-10-26,10.8661
2022-10-27,10.935
2022-10-28,10.9896
